Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Cảm lạnh thông thường,Hắt hơi liên tục,Ớn lạnh,Ho,Sốt cao,Đau đầu,Hạch bạch huyết sưng to,Khó chịu toàn thân,Khạc đờm,Kích ứng cổ họng,Đỏ mắt,Nghẹt xoang,Sổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,
Cảm lạnh thông thường,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Sốt cao,Đau đầu,Hạch bạch huyết sưng to,Khó chịu toàn thân,Khạc đờm,Kích ứng cổ họng,Đỏ mắt,Nghẹt xoang,Sổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,
Cảm lạnh thông thường,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Đau đầu,Hạch bạch huyết sưng to,Khó chịu toàn thân,Khạc đờm,Kích ứng cổ họng,Đỏ mắt,Nghẹt xoang,Sổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,
Cảm lạnh thông thường,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Hạch bạch huyết sưng to,Khó chịu toàn thân,Khạc đờm,Kích ứng cổ họng,Đỏ mắt,Nghẹt xoang,Sổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,
Cảm lạnh thông thường,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đau đầu,Khó chịu toàn thân,Khạc đờm,Kích ứng cổ họng,Đỏ mắt,Nghẹt xoang,Sổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,
Cảm lạnh thông thường,Hắt hơi liên tục,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đau đầu,Hạch bạch huyết sưng to,Khạc đờm,Kích ứng cổ họng,Đỏ mắt,Nghẹt xoang,Sổ mũi,Nghẹt mũi,Đau ngực,Mất khứu giác,Đau cơ,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,
Viêm phổi,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Sốt cao,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Khó thở,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Đổ mồ hôi,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Khó chịu toàn thân,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Viêm phổi,Ớn lạnh,Mệt mỏi,Ho,Sốt cao,Khó thở,Đổ mồ hôi,Khạc đờm,Đau ngực,Nhịp tim nhanh,Đờm màu rỉ sắt,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,
Trĩ,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,,
Trĩ,Táo bón,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Kích ứng hậu môn,,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,
Trĩ,Táo bón,Đau khi đại tiện,Đau vùng hậu môn,Phân có máu,Kích ứng hậu môn,,,,,,,,,,,,
Đau tim,Nôn,Khó thở,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,
Đau tim,Nôn,Khó thở,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,
Đau tim,Khó thở,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,,
Đau tim,Nôn,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,,
Đau tim,Nôn,Khó thở,Đau ngực,,,,,,,,,,,,,,
Đau tim,Nôn,Khó thở,Đổ mồ hôi,,,,,,,,,,,,,,
Đau tim,Nôn,Khó thở,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,
Đau tim,Khó thở,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,,
Đau tim,Nôn,Đổ mồ hôi,Đau ngực,,,,,,,,,,,,,,
Đau tim,Nôn,Khó thở,Đau ngực,,,,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù chân,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù chân,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,
Suy giãn tĩnh mạch,Chuột rút,Bầm tím,Béo phì,Phù chân,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Bầm tím,Béo phì,Phù chân,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Béo phì,Phù chân,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Phù chân,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Giãn mạch máu,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù chân,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù chân,Giãn mạch máu,,,,,,,,,,,
Suy giãn tĩnh mạch,Mệt mỏi,Chuột rút,Bầm tím,Béo phì,Phù chân,Tĩnh mạch chân nổi rõ,,,,,,,,,,,
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,
Suy giáp,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Mệt mỏi,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Mệt mỏi,Tăng cân,Thay đổi tâm trạng,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Uể oải,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Chóng mặt,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Mặt và mắt sưng húp,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Suy giáp,Mệt mỏi,Tăng cân,Tay chân lạnh,Thay đổi tâm trạng,Uể oải,Chóng mặt,Tuyến giáp phì đại,Móng giòn,Chi phù,Trầm cảm,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,
Cường giáp,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Tiêu chảy,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Nhịp tim nhanh,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Đói quá mức,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Cường giáp,Mệt mỏi,Thay đổi tâm trạng,Sút cân,Bồn chồn,Đổ mồ hôi,Tiêu chảy,Nhịp tim nhanh,Yếu cơ,Dễ cáu gắt,Kinh nguyệt bất thường,,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,
Hạ đường huyết,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Đổ mồ hôi,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đau đầu,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Buồn nôn,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Mờ mắt và nhìn biến dạng,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Hạ đường huyết,Nôn,Mệt mỏi,Lo âu,Đổ mồ hôi,Đau đầu,Buồn nôn,Đói quá mức,Khô và ngứa ran môi,Nói ngọng,Dễ cáu gắt,Đánh trống ngực,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm xương khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Đau khi đi lại,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm xương khớp,Đau khớp,Đau cổ,Đau đầu gối,Đau khớp háng,Sưng khớp,Đau khi đi lại,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Đau khi đi lại,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Viêm khớp,Yếu cơ,Cứng cổ,Sưng khớp,Cứng khớp,Đau khi đi lại,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Đi đứng không vững,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Chóng mặt xoay tròn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,
Chóng mặt tư thế kịch phát lành tính,Nôn,Đau đầu,Buồn nôn,Mất thăng bằng,Đi đứng không vững,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,
Mụn trứng cá,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn đầu đen,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,Sẹo,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Mụn đầu đen,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn mủ,Sẹo,,,,,,,,,,,,,,
Mụn trứng cá,Phát ban da,Mụn đầu đen,Sẹo,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Khó chịu bàng quang,Nước tiểu có mùi hôi,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Nhiễm trùng đường tiết niệu,Tiểu buốt,Khó chịu bàng quang,Cảm giác buồn tiểu liên tục,,,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Vảy nến,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Viêm quanh móng,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Vảy nến,Phát ban da,Đau khớp,Tróc da,Vảy bạc,Rỗ móng tay,Viêm quanh móng,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,
Chốc lở,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Chảy mủ vảy vàng,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,,,,,,,,,,,,,
Chốc lở,Phát ban da,Sốt cao,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,
Chốc lở,Phát ban da,Phồng rộp,Vết đỏ quanh mũi,Chảy mủ vảy vàng,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,
Nhiễm nấm,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,,,,,,,,,,,,,,
Nhiễm nấm,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Vùng da mất sắc tố,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,,,,,,,,,,,,,,
Nhiễm nấm,Ngứa,Phát ban da,Nổi mụn cục trên da,Vùng da mất sắc tố,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,
Dị ứng,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,,,,,,,,,,,,,,
Dị ứng,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,,,,,,,,,,,,,,
Dị ứng,Hắt hơi liên tục,Run,Ớn lạnh,Chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Nôn,Ho,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Trào ngược axit,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Loét lưỡi,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Nôn,Ho,Đau ngực,,,,,,,,,,,,
Trào ngược dạ dày thực quản,Đau dạ dày,Trào ngược axit,Loét lưỡi,Ho,Đau ngực,,,,,,,,,,,,
Ứ mật mãn tính,Ngứa,Nôn,Vàng da,Buồn nôn,Chán ăn,Đau bụng,Vàng mắt,,,,,,,,,,
